Serap Aksoy,Aksoy,,unknown,,,1991,1984+,
Josh Albee,,,unknown,,,1979,1992+,
Anna Maria Alberghetti,Alberghetti,,singer,,1936,1951,1984+,1960
Han Albers,Albers,,lead,,1892,1923,1984+,1960
Eddie Albert,Heimberger,,honest Joe,,1908,1938,1984+,1982
Edward Albert,Albert,,light,,1951,1965,1984+,1982
Edward Albert~jr.,,,unknown,,,,1992+,
William Albert,,,unknown,,,1982,1992+,
Frank Albertson,Albertson,,straight,,1907,1928,1981,1963
Jack Albertson,Albertson,,character,,1907,1947,1981,1978
Mabel Albertson,Albertson,,"nosey neighbour, wise and witty grandma",,1901,1939,1982,1970
Hardie Albright,Albrecht,,underused lead,,1903,1931,1971,1957
Lola Albright,Albright,,"stylish, tough-talking",,1925,1949,1984+,1968
Alan Alda,Alda,,lead,.tiff,1936,1963,1984+,1982
Robert Alda,d'Abruzzo,,unknown,,1914,1945,1986,1976
Rutanya Alda,,,},,,1978,1992+,1982
John Alderton,Alderton,,light lead,,1940,1964,1984+,1976
Vera Alentova,,,unknown,,,1980,1992+,
Ben Alexander,Alexander,,boy actor,,1911,1917,1969,1957
Jane Alexander,Quigley,,regal,,1939,1970,1984+,1983
John Alexander,Alexander,,portly,,1901,1936,1982,1960
Katherine Alexander,Alexander,,sympathetic,,1901,1934,1981,1949
Ross Alexander,Alexander,,lead,,1907,1932,1937,1937
Sandy Alexander,,,unknown,,,1983,1984+,
Terence Alexander,Alexander,,ineffectual,,1923,1951,1984+,1979
Hope AlexanderWells,,,unknown,,,,1992+,
Muhammed Ali,Clay,,unknown,,1942,1977,1984+,
Dorothy Alison,Alison,,unknown,,1925,1952,1984+,1972
Andrea Allan,,,unknown,,,,1992+,
Elizabeth Allan,Allan,,delicate or aristocratic heroines,,1908,1931,1984+,1958
William Alland,Alland,,enquiring reporter,,1916,1941,1984+,1961
Chesney Allen,Allen,,light comedian,,1894,1935,1982,1944
Catherine Allegret,,,unknown,,,1965,1984+,
Elizabeth Allen,Gillease,,lead,,1934,1960,1984+,1972
Fred Allen,Sullivan,,lead,,1894,1935,1956,1953
Gracie Allen,Allen,,scatterbrained comedienne,[4.95],1902,1933,1964,1944
Karen Allen,Allen,,lead,,1955,1978,1984+,1982
Nancy Allen,Allen,,lead,,1954,1973,1984+,1983
Patrick Allen,Allen,,lead,,1927,1955,1984+,1982
Rae Allen,,,unknown,,,,1992+,
Steve Allen,Allen,,dry comic,,1921,1949,1984+,1989
Woody Allen,Konigsberg,,confused innocent,[4.818][4.2],1935,1965,1984+,1983
Joseph Allen~jr.,,,unknown,[4.780],,,1992+,
Kirstie Alley,Alley,,spunky,,,1982,1992+,1990
Sara Allgood,Allgood,,amiable,,1883,1918,1950,1950
Claud Allister,Palmer,,silly monocled,,1891,1929,1970,1953
Astrid Allwyn,Allwyn,,lead,,1909,1932,1978,1943
June Allyson,Geisman,,tomboy tease,,1917,1943,1984+,1978
Pedro Almodovar, Almodovar,,wild,FFIIXX,,,1992+,
Maria Conchita Alonso,,,unknown,,,,1992+,
Corinne Alphen,,,beauty,,,1983,1992+,
Kirk Alyn,Alyn,,lead,,1910,1942,1984+,1950
Betty Amann,,,unknown,,,,1992+,
Leonora Amar,,,unknown,,,,1992+,
Don Ameche,Amici,,pleasant hero,,1908,1936,1993,1983
Lucio Amelio,,,unknown,,,,1992+,
Leon Ames,Wycoff,,"harassed or kindly father, suave professional man",,1903,1932,1993,1972
Ramsay Ames,Philips,,lead,,1919,1944,1984+,1963
Suzy Amis,Amis,,handsome,,1962,1993,1984+,
John Amos,,,unknown,,,,1992+,
John Amplas,,,unknown,,,,1992+,
Dev Anand,bn,,hero,,,1958,1984+,1980
Glenn Anders,Anders,,sinister,,1889,1930,1981,1951
Luana Anders,Anders,,lead,,1949,1958,1984+,1982
Merry Anders,Anders,,light lead,,1932,1952,1984+,1958
Bridgette Andersen,,,unknown,,,,1992+,
Bibi Anderson,,,transvestite,,,,1992+,
E. Erich Anderson,,,unknown,,,,1992+,
Rochester,Anderson,,black comedian,,1905,1930,1977,1965
G.M. Anderson,Aronson,,cowboy,,1882,1903,1971,1965
Harriet Anderson,Anderson,,nude villain,[18.228],,1955,1992+,
Herbert Anderson,Anderson,,mild-mannered,,1917,194,1984+,1969
Ingrid Anderson,,,unknown,,,,1992+,
Jean Anderson,Anderson,,"sympathetic nurse, tired mother, spinster aunt",,1908,1947,1984+,1979
John Anderson,Anderson,,"Tall, thin, pale-eyed",,1922,1958,1984+,1978
Judith Anderson,Anderson,,icy presence,,1898,1933,1992,1984
Lindsay Anderson,Anderson,,unknown,,1923,1981,1984+,
Loni Anderson,Anderson,,sexy blonde,,1947,1977,1984+,
Mary Anderson,Anderson,,supporting,,1920,1939,1984+,1953
Melissa Sue Anderson,,,unknown,,,,1992+,
Michael Anderson~jr.,Anderson,,juvenile lead,,1943,1957,1984+,1971
Richard Anderson,Anderson,,thoughtful-looking,,1926,1951,1984+,1978
Rona Anderson,Anderson,,unknown,,1926,1948,1984+,1969
Warner Anderson,Anderson,,"solid presence, no outstanding personality",,1911,1943,1976,1968
Bibi Andersson,Andersson,,unknown,,1935,1955,1984+,1983
Harriet Andersson,Andersson,,unknown,,1932,1952,1984+,1972
Carole Andre,,,unknown,,,,1992+,
Gabe Andre,,,unknown,,,,1992+,
Fr\'ed\'ric Andrei,,,unknown,,,,1992+,
Ursula Andress,Ursula,,sex bomb,,1936,1954,1984+,1981
Anthony Andrews,Andrews,,lead,,1948,1974,1984+,1981
Brian Andrews,,,unknown,,,,1992+,
Dana Andrews,Andrews,,hard,[4.738],1909,1940,1992,1979
Eamonn Andrews,Andrews,,unknown,,,,1987,
Edward Andrews,Andrews,,"beaming, bespectacled",,1914,1955,1984+,1979
Harry Andrews,Andrews,,tough,,1911,1952,1989,1980
Julie Andrews,Wells,,wholesome singer,,1934,1964,1984+,1983
The Andrews Sisters,Andrews,,harmony singing group,,n.a.,1940,n.a.,1948
Stanley Andrews,Andrews,,grizzled western veteran,,1892,1934,1969,1958
Heather Angel,Angel,,lead,,1909,1930,1984+,1962
Pier Angeli,Pierangeli,,sensitive,"[4.939,940]",1932,1950,1971,1972
The Hells Angels,,,unknown,,,,1992+,
Maya Angelou,Angelou,,poet,,1929,1993,1984+,
Muriel Angelus,Findlay,,lead,,1909,1930,1984+,1940
Ivy Angustain,,,unknown,,,,1992+,
Evelyn Ankers,Ankers,,"looked decorative, well-bred heroine",[16:541],1918,1933,1992+,1960
Morris Ankrum,Morris,,"lawyer, judge, Western villain",,1896,1940,1964,1961
Francesca Annis,Annis,,lead,,1944,1958,1984+,1983
AnnMargret,Olsson,,sex symbol,[4.15],1941,1961,1984+,1983
Michael Ansara,Ansara,,Indian,,1922,1944,1984+,1974
Karen Anspach,,,unknown,,,,1992+,
Susan Anspach,Anspach,,stage,,1939,1970,1984+,1983
Adam Ant,,,unknown,,,,1992+,
Lysette Anthony,,,unknown,,,,1992+,
Michael Anthony,,,unknown,,,,1992+,
Susan Anton,,,unknown,,,,1992+,
Laura Antonelli,,,unknown,,,,1992+,
Lou Antonio,,,unknown,,,,1992+,
Scott Antony,Antony,,lead juvenile,,1950,1972,1984+,1974
Aquanetta,Davenbort,,exotic,,1920,1942,1984+,1946
Alfonso Arau,,,unknown,,,,1992+,
Roscoe Arbuckle,Arbuckle,,comic,,1887,1913,1933,1921
Allan Arbus,,,unknown,,,,1992+,
Anne Archer,Archer,,lead,,,1970,1984+,1982
Fanny Ardant,Ardant,,lead,,1949,1981,1984+,1984
Eve Arden,Quedens,,"best, cool friend",,1912,1929,1990,1982
Carmen Argenziano,,,unknown,,,,1992+,
Adam Arkin,,,unknown,,,,1992+,
Alan Arkin,Arkin,,lead,,1934,1966,1984+,1983
David Arkin,,,unknown,,,,1992+,
Richard Arlen,van Mattemore,,rugged hero,,1898,1925,1976,1976
Arletty,Bathiat,,world-weary,,1898,1931,1992,1972
George Arliss,Andrews,,autocratic,,1868,1921,1946,1937
Pedro Armendariz,Armendariz,,expansive,,1912,1936,1963,1963
Henry Armetta,Armetta,,"excitable, gesticulating foreigner",,1888,1918,1945,1946
Bess Armstrong,Armstrong,,lead,,,1982,1984+,1983
Curtis Armstrong,,,unknown,,,,1992+,
Louis Armstrong,Armstrong,,black jazz musician,,1900,1936,1971,1969
R.G. Armstrong,Armstrong,,tough serious,,1920,1958,1984+,1982
Robert Armstrong,Smith,,"tough cop, scientist",[4.103],1890,1927,1973,1963
Todd Armstrong,Armstrong,,stalwart lead,,1939,1962,1984+,1968
Yvonne Arnaud,Arnaud,,unknown,,1892,1920,1958,1958
Lucie Arnaz,Arnaz,,lead,,1951,1975,1984+,1983
Desi Arnaz,Arnaz y de Acha,,diminutive explosive romantic,,1915,1950,1986,1982
Desi Arnaz~jr.,Arnaz,,juvenile lead,,1953,1970,1984+,1983
Peter Arne,Albrecht,,villain,,1920,1955,1983,1982
James Arness,Aurness,,giant,,1923,1947,1984+,1981
Jeanetta Arnette,,,unknown,,,,1992+,
Edward Arnold,Schneider,,dynamic rotund,,1890,1916,1956,1956
Mark Arnott,,,unknown,,,,1992+,
Charles Arnt,Arnt,,"snoop, suspicious, or plain ordinary fellow",,1908,1934,1984+,1962
Rosanna Arquette,,,unknown,,,,1992+,
Antonin Artaud,Artaud,,dabbling writer,,1895,1926,1948,1928
Beatrice Arthur,Frankel,,dominant comedy,,1923,1972,1984+,1983
George K. Arthur,Brest,,small but gamy,,1899,1921,1984+,1935
Jean Arthur,Greene,,squeaky petite feminist,,1905,1923,1991,1966
Linda Arvidson,Arvidson-Griffith,,lead,,1884,1908,1949,1916
Leslie Ash,,,unknown,,,,1992+,
Peggy Ashcroft,Ashcroft,,royal,,1907,1933,1991,1978
Jane Asher,Asher,,lead,,1946,1951,1984+,1972
Ren\`ee Asherson,Asherson,,unknown,,1920,1944,1984+,1968
Edward Ashley,Cooper,,third lead,,1904,1933,1984+,1976
Elizabeth Ashley,Cole,,cold sporadic,,1939,1964,1984+,1982
Jennifer Ashley,,,unknown,,,,1992+,
John Ashley,,,unknown,,,,1992+,
Gregoire Asian,,,unknown,,,,1992+,
Luke Askew,Askew,,western,,,1967,1984+,1979
Arthur Askey,Askey,,diminutive,,1900,1937,1982,1972
Ed Asner,Asner,,chubby tough,[34.259],1929,1963,1984+,1983
Chuck Aspegren,,,unknown,,,,1992+,
Armand Assante,,,unknown,,,,1992+,
Asta,,,wire-haired fox terrier,[4.1066],,1934,1984+,1947
Adele Astaire,,,unknown,,,,1981,
Fred Astaire,Austerlitz,,dancer,"[4.390,1005]",1899,1933,1987,1981
Nils Asther,Asther,,"suave, exotic",,1897,1927,1981,1963
John Astin,Astin,,comic,,1930,1961,1984+,1977
Patty Duke Astin,Duke Astin,,unknown,,1946,1955,1984+,1982
Gertrude Astor,Astor,,silent screen,[18.209],1887,1927,1977,1962
Mary Astor,Langehanke,,"solid, character",[4.1083],1906,1921,1987,1964
William Atherton,Atherton,,unknown,,1947,1972,1984+,1983
Christopher Atkins,Atkins,,juvenile lead,,1961,1980,1984+,1983
Eileen Atkins,Atkins,,character,,1934,1968,1984+,1983
Kiyoshi Atsumi,Tadoroko,,peddler: Tora-san,,1928,1969,1996,1996
Richard Attenborough,Attenborough,,"coward, `wide range'",,1923,1942,1984+,1979
Malcolm Atterbury,Atterbury,,character,,1907,1954,1984+,1964
Edith Atwater,Atwater,,lead,,1911,1936,1984+,1976
Lionel Atwill,Atwill,,teutonic villains,"[18.206,207]",1885,1919,1946,1946
Kim Atwood,,,unknown,,,,1992+,
Brigitte Auber,,,unknown,,,1955,1992+,
Rene Auberjonois,Auberjonois,,character,,1940,1970,1984+,1980
Lenore Aubert,Aubert,,sinister,,1913,1938,1984+,1949
Cecile Aubry,Benard,,petit,,1929,1949,1984+,1954
Joss Auckland,,,unknown,,,,1992+,
Michael Auclair,Vujovic,,lead,,1922,1946,1984+,1973
Maxine Audley,Audley,,character,,1923,1954,1984+,1969
Stephane Audran,Audran,,cool,,1932,1958,1984+,1982
Audrey,,,unknown,,,,1992+,
Mischa Auer,Ounskowsky,,"wild, noble idiot",,1905,1928,1967,1966
Claudine Auger,Auger,,lead,,1942,1963,1984+,1980
Marie Ault,Cragg,,dialect comedy,,1870,1924,1951,1949
JeanPierre Aumont,Salomons,,lead,,1909,1931,1984+,1983
John Austin,,,unknown,,,,1992+,
Daniel Auteuil,Auteuil,,unknown,,,1985,1992+,
Gene Autry,Autry,,easy-going cowboy,,1907,1937,1998,1950
Frankie Avalon,Avallone,,light lead,,1939,1960,1984+,1978
Luis Avalos,,,unknown,,,,1992+,
Doe Avedon,Avedon,,lead,,1928,1954,1984+,1956
Brian Avery,,,unknown,,,,1992+,
Margaret Avery,,,unknown,,,,1992+,
Nina Axelrod,,,unknown,,,,1992+,
Hoyt Axton,,,unknown,,,,1992+,
George Ayer,,,unknown,,,,1992+,
Dan Aykroyd,Aykroyd,,comic lead,,,1980,1984+,1988
Felix Aylmer,Aylmer Jones,,"schoolmasters, bishops",,1889,1933,1979,1968
Agnes Ayres,Hinkle,,silent lead,,1896,1919,1940,1937
Gregg Ayres,,,unknown,,,,1992+,
Lew Ayres,Ayer,,boyish lead,,1908,1929,1997,1972
Robert Ayres,Ayres,,"strong, silent",,1914,1949,1968,1968
Randle Ayrton,Ayrton,,character,,1869,1918,1940,1978
Shabana Azmi,,,unknown,,,,1992+,
Charles Aznavour,Aznavurjan,,small rugged lead,,1924,1958,1992,1976
Candy Azzara,,,unknown,,,,1992+,
Hank Azaria,,,comic,,1964,,1984+,
Lauren Bacall,Perske,,sultry to resourceful,,1924,1944,1984+,1981
Barbara Bach,Bach,,lead,,1951,1977,1984+,1981
Pamela Bach, Bach,,unknown,,1962,,1984+,
Amitabh Bachchan,bn,,romantic hero,FFIIXX,1942,1970,1984+,1980
Jim Backus,Backus,,burly comedian,,1913,1958,1989,1980
Kevin Bacon,,,unknown,,,1984,1992+,1990
Hermione Baddeley,Baddely,,unknown,,,1940,1986,1964
Alan Badel,Badel,,sensitive,,1923,1953,1982,1980
Buddy Baer,Baer,,unknown,,1915,1949,1984+,1961
Harry Baer,,,unknown,,,1979,1992+,1980
Max Baer,Baer,,boxer,,1909,1933,1959,1958
Pearl Bailey,Bailey,,black singer,,1918,1947,1990,1976
Barbara Bain,Bain,,lead,,1932,1971,1984+,1973
Fay Bainter,Bainter,,stalwart matron,[4.697],1892,1934,1968,1962
Scott Baio,Baio,,teenager,,1961,1978,1984+,1982
Blanche Baker,,,unknown,,,1984,1992+,1990
Carrol Baker,Baker,,sex symbol,[9.148],1931,1953,1984+,1983
Diane Baker,Baker,,demure,,1936,1959,1984+,1971
Hylda Baker,Baker,,comedienne,,1909,1960,1984+,1973
Joe Don Baker,Baker,,tough,,1943,1967,1984+,1979
Josephine Baker,Baker,,sexy dancer,,1906,1927,1975,
Kathy Baker,,,good girl,,,1987,1992+,1990
Kenny Baker,Baker,,crooner,,1912,1936,1984+,1946
Ruby Baker,,,unknown,,,1982,1992+,
Stanley Baker,Baker,,virile,,1927,1941,1976,1975
Tom Baker,Baker,,larger than life,,1935,1971,1984+,1975
Bob Balaban,Balaban,,character,,1965,1978,1984+,1966
Jill Balcon,Balcon,,unknown,,1925,1947,1984+,
Rebecca Balding,,,unknown,,,,1992+,
Adam Baldwin,,,unknown,,,1980,1992+,1989
Alec Baldwin,Baldwin,,peevish,,195x,1988,1992+,1990
Daniel Baldwin, Baldwin,,unknown,,,,1992+,
Stephen Baldwin, Baldwin,,unknown,,1963+,,1984+,
William Baldwin,Baldwin,,unknown,,1963,1989,1984+,1990
Betty Balfour,Balfour,,comedienne,,1903,1928,1984+,1945
Mireille Balin,Balin,,lead,,1909,1933,1968,1937
Florinda Balkan,,,mistress,,,1970,1992+,1975
Lucille Ball,Ball,,comedienne,,1910,1933,1989,1973
Vincent Ball,Ball,,unknown,,*,1956,1984+,1960
Kay Ballard,Balotta,,comedienne,,1926,1956,1984+,1980
Martin Balsam,Balsam,,"quiet, comfortable",[4.152],1919,1954,1984+,1982
Anne Bancroft, Italiano,,"warm, competent",[4.35],1931,1952-,1984+,
George Bancroft,Bancroft,,burly,[4.1122],1882,1921,1956,1942
Antonio Banderas,,,lover,,1960,,1984+,
Victor Banerjee,,,unknown,,,,1992+,
Donatas Banionis,,,unknown,,,,1992+,
Alex Bank,,,unknown,,,,1992+,
Tallulah Bankhead,Bankhead,,theatrical,,1902,1918,1968,1965
Aaron Banks,,,unknown,,,,1992+,
Leslie Banks,Banks,,tough sophisticate,,1890,1932,1952,1950
Vilma Banky,Lonchit,,silent,,1902,1920,1984+,1933
Ian Bannen,Bannen,,effective,,1928,1955,1984+,1983
John Banner,Banner,,German sergeant,,1910,1943,1973,1971
Theda Bara,Goodman,,vamp,,1890,1915,1955,1926
Olga Baraclanova,,,unknown,,,,1992+,
Christine Baranski,,,unknown,,,,1992+,
Vanna Barba,Barba,,sexy,,1967,1992,1984+,
Adrienne Barbeau,Barbeau,,lead,,1949,1977,1984+,1982
George Barbier,Barbier,,blustery kind man,,1865,1924,1945,1945
Joyce Barbour,,,unknown,,,1936,1992+,
Brigitte Bardot,Javal,,sexy,,1933,1954,1984+,1973
Mijanou Bardot,Javal,,sexy,,,1960,1984+,
Sonny Barger,,,unknown,,,,1992+,
Lynn Bari,Fisher,,pert,,1915,1933,1989,1962
Norah Baring,Baring,,lead,,1907,1928,1984+,1933
Erik Barker,Barker,,character,[4.837],1912,1937,1984+,1970
Ronnie Barker,Barker,,portly,,1929,1963,1984+,1979
Lex Barker,Barker,,ape man,[9.318],,1949,1984+,1952
Ellen Barkin,Barkin,,sexy wives,,1954,1982,1984+,1989
Marcie Barkin,,,unknown,,,1975,1992+,
Mikhail Barishnikov,,,dancer,,,1979,1992+,
Binnie Barnes,Barnes,,light,,1905,1931,1983,1972
Jake Barnes,,,unknown,,,,1992+,
Joanna Barnes,Barnes,,cool,,1934,1958,1984+,1970
Julian Barnes,,,unknown,,,,1992+,
Priscilla Barnes,,,unknown,,,,1992+,
Charlie Barnett,,,unknown,,,,1992+,
Nella Barnier,,,unknown,,,,1992+,
Sandy Baron,,,unknown,,,,1992+,
Pierre Barouh,,,unknown,,,,1992+,
Maria Barranco,,,unknown,,,,1992+,
JeanLouis Barrault,Barrault,,stage actor,,1910,1935,1994,1967
MarieChristine Barrault,Barrault,,unknown,,1944,1969,1984+,1978
Edith Barrett,Williams,,secondary,,1907,1941,1977,1956
Judith Barrett,Kelly,,B-movie lead,,1914,1936,1984+,1940
Barbara Barrie,Barrie,,pert,,,1964,1984+,1980
Mona Barrie,Smith,,ladylike,,1909,1933,1984+,1953
Wendy Barrie,Jenkins,,lead,,1912,1932,1978,1954
Edgar Barrier,Barrier,,suave villain,,1906,1940,1964,1963
Maurice Barrier,,,unknown,,,1982,1992+,
George Barris,,,unknown,,,1979,1992+,
Gene Barry,Klass,,poised,,1921,1952,1984+,1979
Joan Barry,Barry,,lead,,1903,1922,1984+,1934
Diana Barrymore,Barrymore Blythe,,unhappy,,1921,1942,1960,1944
Drew Barrymore,Barrymore,,determined child,,1976,1982,1984+,1992
Ethel Barrymore,Blythe,,regal presence,,1879,1914,1959,1957
John Barrymore,Blythe,,churlish grandpa,,1882,1913,1942,1942
John Barrymore~jr.,Blythe Barrymore,,weakling,,1932,1950,1984+,1963
John Barrymore~III,,,unknown,,,,1984+,
Lionel Barrymore,Blythe,,churlish grandpa?,[4.942],1878,1909,1954,1953
Maurice Barrymore,Blythe,,stage,,,,1992+,
Paul Bartels,Bartels,,wild,,1940,1976,1984+,1981
Eddie Barth,,,unknown,,,1979,1992+,
Richard Barthelmess,Barthelmess,,presentable innocent,,1895,1916,1963,1942
Freddie Bartholomew,Llewellyn,,well-bred child,,1924,1930,1992,1951
Eve Bartok,"Sj\""oke",,agreeable,,1926,1951,1984+,1964
James Barton,Barton,,grubby,,1890,1923,1962,1961
Richard Basehart,Basehart,,thoughtful,,1915,1947,1984,1982
Tony Basil,,,unknown,,,1969,1992+,
Kim Basinger,Basinger,,"stunning, vulnerable looking lead",,1953,1982,1998+,1989
Count Basie,Basie,,musician,,,1982,1984+,
Richard Baskin,Baskin,,unknown,,,1975,1984+,1976
Alfie Bass,Bass,,unknown,,,1954,1987,1967
Lina Basquette,Basquette,,"dancer, rebel",,1907,1916,1984+,1928
Albert Basserman,Basserman,,sympathetic,,1867,1913,1952,1948
Angela Bassett,Bassett,,mother,,1958,1991,1984+,1993
Steve Bassett,,,unknown,,,1983,1992+,
Alexandra Bastedo,Bastedo,,lead,,1946,1963,1984+,1975
Alan Bates,Bates,,thoughtful tough,,1934,1959,2003,1983
Barbara Bates,,,unknown,,,1949,1992+,
Florence Bates,Rabe,,matron (friendly or fiendish),,1888,1937,1954,1953
Kathy Bates,Bates,,plump,,1958,1982,1984+,1990
Michael Bates,Bates,,stupid policeman,,1920,1955,1978,1977
Belinda Bauer,,,dancer,,,1983,1992+,1990
Steven Bauer,,,unknown,,,1983,1992+,1986
Harry Baur,Baur,,celebrated,,1880,1910,1943,1942
Barbara Baxley,Baxley,,gorgeous,,,1958,1984+,1979
Alan Baxter,Baxter,,colonel,,1908,1935,1976,1971
Anne Baxter,Baxter,,"shy innocent, cold eyed schemer",,1923,1940,1985,1983
Jane Baxter,Forde,,gentle-mannered,,1909,1932,1984+,1951
Warner Baxter,Baxter,,distinguished,,1889,1914,1951,1950
Sarah Bay,Neri,,unknown,,,1972,1992+,
Nathalie Baye,Baye,,unknown,,,1950,1992+,1982
Gary Bayer,,,unknown,,,,1992+,
Geoffrey Bayldon,Bayldon,,lanky excentric,,1924,1953,1984+,1983
Stephanie Beacham,Beacham,,lead,,1949,1969,1984+,1980
John Beal,Bliedung,,boyish innocence,,1909,1933,1984+,1983
Jennifer Beals,,,unknown,,,,1992+,
Emanuelle Beart,B\'eart,,naive beauty,,1965,1985,\Und,1991
The Beatles,The Beatles,,pop,,n.a.,1964,n.a.,1981
Ned Beatty,Beatty,,chubby,"[4.111,133]",1937,1972,1984+,1983
Robert Beatty,Beatty,,lead,,1909,1943,1984+,1973
Warren Beatty,Beaty,,pschological maladjusted,[4.208][9.38],1937,1961,1984+,1978
Louise Beavers,Beavers,,happy housekeeper,,1902,1929,1962,1961
John C. Becher,,,unknown,,,,1992+,
Sidney Bechet,Bechet,,clarinetist,,1892,1930,1959,
Jenny Beck,Beck,,daughter,,1974,1976,1984+,
John Beck,Beck,,lead,,1943,1969,1984+,1981
Kimberly Beck,,,unknown,,,,1992+,
Michael Beck,Beck,,lead,,1948,1977,1984+,1981
Stanley Beck,,,unknown,,,,1992+,
Barry Beckerman,,,unknown,,,,1992+,
Scotty Beckett,Beckett,,soulful-looking,,1929,1934,1968,1956
Reginald Beckwith,Beckwith,,high voice,,1908,1941,1965,1965
Don Beddoe,Beddoe,,genial look,,1888,1939,1979,1969
Bonnie Bedelia,Bedelia,,lead,,1946,1969,1984+,1990
Kabir Bedi,Bedi,,lead,,1935,1976,1984+,1983
Alfonso Bedoya,Bedoya,,beaming face,,1904,1947,1957,1957
Molly Bee,,,unknown,,,,1992+,
Noah Beery,Beery,,villain,,1884,1918,1946,1946
Noah Beery~jr.,Beery~jr.,,easy going sidekick,,1913,1920,1994,1982
Wallace Beery,Beery,,"tough, ugly, slow-thinking, easy-going",,1880,1916,1949,1949
Hagan Beggs,,,unknown,,,,1992+,
Ed Begley,Begley,,jovial uncle,,1901,1947,1970,1969
Ed Begley~jr.,Begley~jr.,,character actor,,,1972,1984+,1979
Harry Belafonte,Belafonte,,ballad singer,,1927,1953,1984+,1974
Charles Belcher,,,unknown,,,,1992+,
Barbara BelGeddes,Lewis,,placid,[34.], 1927,1947,1984+,
Ann Bell,Bell,,character,,,1962,1984+,1980
James Bell,Bell,,character,,1891,1932,1973,1963
Marie Bell,Bellon-Downey,,distinguished,,1900,1928,1985,1966
Rex Bell,Beldam,,cowboy,,1905,1929,1962,1942
Tom Bell,Bell,,"gaunt, lead",,1933,1961,1984+,1978
Madge Bellamy,Philpott,,general purpose,,1903,1923,1984+,1928
Ralph Bellamy,Bellamy,,rich `other man',[4.206],1904,1931,1991,1983
Harry Bellaver,Bellaver,,"cop, small-time gangster or cabbie",,1905,1940,1984+,1980
Kathleen Beller,Beller,,lead,,1955,1974,1984+,1983
