DWG02,At the French Ball,1908
DWG03,Calamitous Elopement,1908
DWG1,The Adventures of Dolly,1908
DWG3,For the Love of Gold,1908
DWG5,The Call of the Wild,1908
DWG6,Lines of White on a Sullen Sea,1908
DWG7,The Sealed Room,1909
DWG8,A Corner in Wheat,1909
DWG9,The Lonely Villa,1909
DWG10,The Life of Edgar Allen Poe,1909
DWG11,The Curtain Pole,1909
DWG15,Song of the Wildwood Flute,1910
DWG16,Love Among the Roses,1910
DWG25,The Lonedale Operator,1911
DWG26,Paradise Lost,1911
DWG27,Enoch Arden,1911
DWG29,The Cowboy Doctor,1911
DWG33,Man's Genesis,1912
DWG35,The Musketeers of Pig Alley,1912
DWG40,The Raven,1912
DWG47,The New York Hat,1912
DWG49,The Battle at Elderbush Gulch,1913
DWG50,Judith of Bethulia,1913
DWG51,The Clansman,1915
DWG52,Intolerance,1916
DWG53,Hearts of the World,1918
DWG55,The Greatest Question,1919
DWG57,Broken Blossoms,1919
DWG58,True Heart Susie,1919
DWG64,Way Down East,1920
DWG66,One Exciting Night,1922
DWG67,Orphans of the Storm,1922
DWG71,America,1924
DWG72,Isn't life Wonderful,1924
DWG75,Screen Snapshots,1926
DWG80,Abraham Lincoln,1930
Z0210,Romeo and Juliet,1908
Z0220,Romeo and Juliet,1908
Z0230,Romeo and Juliet,1908
Z0240,Romeo and Juliet,1911
Z0250,Romeo and Juliet,1911
Z0260,Romeo and Juliet,1916
Z0270,Romeo and Juliet,1916
EiC10,Le Binetoscope,1909
GdL10,"Marin Valiero, Doge of Venice",1909
MCs2,The Pilgrim's Progress,1912
MCs3,Macbeth,1913
MCs10,Love Everlasting,1913
WMk10,Gertie the Dino,1909
FkP10,All on Account of Milk,1910
GlS10,The Merchant of Venice,1910
ISB10,Life of Moses,1910
ThB10,The Old Curiosity Shop,1913
ThB30,The Old Curiosity Shop,1921
ThB50,Young Woodley,1930
ThB55,Hobson's Choice,1931
ThB65,Those Were the Days,1934
ThB70,The Old Curiosity Shop,1935
ThB80,Lucky to Me,1939
UgF10,Salome,1910
UgF12,Francesca di Rimini,1911
APv10,Dante's Inferno,1911
APv11,Homer's Odyssey,1911
AuB10,The Vampire Dancer,1911
LcP15,L'Enfant de Paris,1913
OrM10,Clios and Phyletes,1911
ThI10,Little Dove's Romance,1911
ThI18,Battle of the Red Men,1912
ThI20,Custer's Last Fight,1912
ThI33,The Death Mask,1914
ThI40,Civilization,1915
ThI60,Human Wreckage,1924
ThI65,Custer's Last Fight,1925
UrG10,The Aviator's Generosity,1911
WmH10,A Tale of Two Cities,1911
ADw5,Maiden and Men,1912
ADw6,Their Hero Son,1912
ADw17,Robin Hood,1922
ADw22,The Iron Mask,1922
ADw27,Manhandled,1924
ADw35,Heidi,1937
ADw40,Rebecca of Sunnybrook Farm,1938
ADw41,Suez,1938
ADw45,The Three Musketeers,1939
ADw52,Around the World,1943
ADw60,Sands of Iwo Jima,1949
ADw70,Cattle Queen of Montana,1954
ADw72,Passion,1954
ADw75,Tennessee's Partner,1954
ADw78,Pearl of the South Pacific,1955
ADw80,Slightly Scarlet,1956
AEG25,The Ghost Breaker,1922
AEG37,Baby Face,1933
AEG39,I Loved a Woman,1933
AEG41,Dangerous,1935
AEG50,The Gracie Allen Murder Case,1935
AEG60,The Jolson Story,1946
AEG70,The Eddie Cantor Story,1953
JCw16,Step On It,1922
JCw41,Bringing Up Father,1928
JCw44,Our Modern Maidens,1929
JCw47,The Unholy Three,1930
JCw50,Just a Gigolo,1931
JCw51,Ars\`ene Lupin,1932
JCw53,Red-headed Woman,1932
JCw57,Viva Villa,1934
JCw61,A Tale of Two Cities,1935
JCw62,Libeled Lady,1936
JCw63,Sarasota,1937
JCw64,A Yank at Oxford,1938
JCw65,Too Hot To Handle,1938
JCw67,Lady of the Tropics,1939
JCw68,Boom Town,1940
JCw69,Love Crazy,1940
JCw70,Honky Tonk,1940
JCw73,Dragon Seed,1944
JCw75,The Hucksters,1947
JDu10,Comedy of the absurd,1912
MaT10,Alias Jimmy Valentine,1915
MaT25,The Pride of the Clan,1917
MaT27,Poor Little Rich Girl,1917
MaT40,Au nom de la loi,1931
LMe10,Queen Elizabeth,1912
LoW3,How Men Propose,1913
LoW5,Where are My Children,1916
LoW10,The Dumb Girl of Portici,1916
LoW11,"The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances",1916
LoW20,The Dance of Love,1920
LoW21,Shoes,1920
ME40,Nelson,1919
ME60,The Elusive Pimpernel,1912
ME100,The Hound of the Baskervilles,1921
MEl130,Balalava,1928
MEl150,The School for Scandal,1930
ME180,The Lodger,1932
ME200,The Tunnel,1934
ME240,The Spider,1940
ME270,Beware of Pity,1946
ME300,My Wife's Lodger,1952
MSe10,Dough and Dynamite,1914
MSe15,Fatty and Mabel at the San Diego Exposition,1915
MSe18,Fatty and Mabel's Simple Life,1915
MSt10,Vampyren,1912
MSt20,Sir Arne's Treasure,1919
MSt30,Erotikon,1920
MSt40,The Saga of Gosta Berlin,1924
MSt50,The Blizzard,1926
MSt53,The Temptress,1927
MSt55,Hotel Imperial,1927
MSt60,Street of Sin,1928
SiO10,From the Manger to the Cross,1912
SiO30,Monsieur Beaucaire,1924
VSj1,Tradgardsmastaren,1912
VSj3,The Phantom Carriage,1920
VSj5,He Who gets Slapped,1924
VSj6,The Scarlet Letter,1926
VSj7,The Divine Woman,1927
VSj8,The Wind,1927
Z1210,Within the Law,1912
Z1220,Within the Law,1917
Z1230,Within the Law,1923
ElR10,The Last Days of Pompeii,1913
NOx10,Il Cadavere Vivente,1913
NOx20,Rhapsodia Satanica,1917
AcG10,"Fedora, or Piu Forte dell'Odio e Amore",1913
BuG10,Blade O'Grass,1915
CDM0,California,1913
CDM1,The Squaw Man,1913
CDM3,The Virginian,1914
CDM5,Brewster's Millions,1914
CDM6,Rose of the Rancho,1914
CDM7,The Ghost Breaker,1914
CDM8,Call of the North,1915
CDM9,The Girl of the Golden West,1915
CDM10,The Wild Goose Chase,1915
CDM11,The Warrens of Virginia,1915
CDM12,The Arab,1915
CDM13,The Goose Girl,1915
CDM15,Carmen,1915
CDM16,Maria Rosa,1915
CDM17,The Captive,1915
CDM18,The Cheat,1915
CDM19,The Trail of the Lonesome Pine,1916
CDM22,"Joan, the Woman",1917
CDM32,The Squaw Man,1918
CDM40,The Affairs of Anatol,1921
CDM44,Adam's Rib,1923
CDM45,The Ten Commandments,1923
CDM51,The King of Kings,1927
CDM52,Madame Satan,1930
CDM54,The Godless Girl,1931
CDM55,The Squaw Man,1931
CDM56,The Sign of the Cross,1932
CDM59,Cleopatra,1934
CDM60,The Crusades,1935
CDM64,The Plainsman,1936
CDM68,The Buccaneer,1938
CDM73,Union Pacific,1939
CDM75,Reap the Wild Wind,1942
CDM77,Unconquered,1947
CDM78,Samson and Delilah,1949
CDM79,The Greatest Show on Earth,1952
CDM80,The Ten Commandments,1956
EGz10,Anthony and Cleopatra,1913
GBS10,The Perils of Pauline,1913
GBS20,The Fatal Ring,1917
GBS30,Velvet Fingers,1921
GBS40,The Sky Ranger,1925
GBS42,The Vanishing American,1925
GBS90,The Woman in his Life,1935
GBS92,The Last of the Mohicans,1936
GBS93,A Family Affair,1936
GBS95,You're Only Young Once,1938
GBS96,Judge Hardy's Children,1938
GBS97,Love Finds Andy Hardy,1938
GBS98,Out West With the Hardys,1938
GBS100,6000 Enemies,1939
GBS102,The Hardys Ride High,1939
GBS103,Judge Hardy and Son,1939
GBS110,Andy Hardy Meets a Debutante,1939
GBS115,Kit Carson,1940
GBS120,Sky Murder,1940
GBS130,Andy Hardy's Private Secretary,1941
GBS132,Life Begins for Andy Hardy,1941
GBS140,China Caravan,1942
GBS144,The Courtship of Andy Hardy,1942
GBS145,Andy Hardy's Double Life,1942
GBS150,Andy Hardy's Blonde Trouble,1944
BHd10,East Lynne,1913
DGP1,Raja Harishchandra,1913
HBn5,Ivanhoe,1913
HBn8,Neptune's Daughter,1914
HBn10,The Kreuzer Sonata,1913
HBn12,War Brides,1916
HBn15,The Passing of the Third Floor Back,1918
HBn18,The Sign on the Door,1921
HBn21,The Spanish Dancer,1923
HBn25,Peter Pan,1924
HBn30,Beau Geste,1926
HBn40,Beau Ideal,1931
HHS1,The White Goddess of the Wangora,1913
HHS3,The Heroes of Paratau,1914
HHS6,The Outlaw of the Sudu Mountains,1914
HHS8,Odd Man Out,1914
HHS9,Deutsche in Sudan,1914
HHS12,Eine Weisse unter Kannibalen,1919
HHS13,Ein Abenteurer,1920
HHS14,Tropengift,1920
HHS15,Goldfieber,1920
HHS16,Im Kampf um die Diamantfelder,1921
HHS22,Geheimbundrieten der Frauen in Liberia,1923
HHS24,Mensch und Tier im Urwald,1924
HHS26,"Fahrten und F\""ahrten",1926
HHS28,Verlorenes Land,1926
HHS36,Das Letzte Paradis,1932
HHS38,Die Wildnis Stirbt,1933
HHS48,"Frauen, Masken, und Dam\""onen",1948
HHS50,Abschied von Afrika,1956
PW1,The Student of Prag,1913
PW2,"R\""ubezahls Hochzeit",1916
PW3,"Der Rattenf\""anger von Hameln",1918
PW4,Der Golem,1920
Z4210,Tarzan the Ape Man,1913
Z4215,Romance of Tarzan,1918
Z4220,Return of Tarzan,1920
Z4222,Son of Tarzan,1920
Z4225,Adventures of Tarzan,1921
Z4230,Tarzan and the Golden Lion,1927
Z4240,Tarzan the Mighty,1928
ADA10,The Memory of the Other,1914
AK1,The Duped Journalist,1914
AK19,The Man with the Golden Touch,1918
AK26,The Prince and the Pauper,1920
AK40,The Private Life of Helen of Troy,1927
AK45,Her Private Life,1929
AK49,The Princess and the Plumber,1931
AK50,Marius,1931
AK57,The Private Life of Henry VIII,1933
AK58,The Girl from Maxim's,1933
AK59,The Private Life of Don Juan,1934
AK78,Rembrandt,1936
AK90,That Hamilton Woman,1941
AK96,An Ideal Husband,1947
CC1,Making A Living,1914
CC43,The Tramp,1915
CC50,Shangheid,1916
CC52,A Night at the Show,1916
CC62,The Immigrant,1917
CC64,The Adventurer,1917
CC66,A Dog's Life,1918
CC68,Shoulder Arms,1918
CC70,The Kid,1920
CC72,Shoulder Arms,1922
CC73,The Gold Rush,1925
CC75,The Circus,1927
CC76,City Lights,1931
CC77,Modern Times,1936
CC78,The Great Dictator,1940
CC79,The Gold Rush,1942
CC80,Monsieur Verdoux,1947
CC81,Limelight,1952
CC82,A King in New York,1957
CC83.,A Countess from Hong Kong,1966
CGl10,La donna nuda,1914
CGl25,Malombra,1917
CGl35,Maman poupee,1920
CGl42,Fabiola,1923
CGl44,Mesalina,1924
CGl46,Quo Vadis,1925
CGl48,The Last Days of Pompeii,1926
CGl55,Pawns of Passion,1928
CGl70,Madame Butterfly,1939
CGl75,Manon Lescaut,1940
CGl85,La Traviata,1947
CGl90,Faust and the Devil,1949
CGl95,La Forza del Destino,1951
CGl103,Tosca,1956
CGl107,Michel Strogoff,1959
CGl109,Cathage in Flames,1959
CGl115,Carmen di Travestere,1962
CoC10,The Spoilers,1914
CWl10,Der Stolz der Firma,1914
ECs10,In The Land of the War Canoes,1914
El9,Schuhpalast Pinkus,1915
El13,Wenn Vier Dasselbe Tun,1917
El15,"Ein Fideles Gef\""angnis",1918
EL19,Die Augen der Mumie Ma,1918
EL21,Gipsy Blood,1918
EL28,Meyer in Berlin,1919
EL29,Die Austernprinzessin,1919
EL31,Madame Dubarry,1919
EL32,Die Puppe,1919
EL33,Romeo und Julia im Schnee,1920
EL34,"Kohliesel's T\""ochter",1920
El35,"Ich M\""ochte Kein Mann Sein",1920
EL36,Sumurun,1920
EL37,Anna Boleyn,1920
EL38,Die Bergkatze,1921
EL39,Das Weib des Pharao,1922
EL40,Die Flamme,1923
EL41,Rosita,1923
EL42,The Marriage Circle,1924
EL44,Forbidden Paradise,1924
EL46,Lady Windermere's Fan,1925
EL48,The Student Prince,1927
EL49,The Patriot,1928
EL51,The Love Parade,1929
EL52,Paramount on Parade,1930
EL53,Monte Carlo,1930
EL54,The Smiling Luitenant,1931
EL55,The Man I Killed,1932
EL56,One Hour With You,1932
EL57,Trouble in Paradise,1932
EL58,If I had a Million,1932
EL60,Design For Living,1933
EL61,The Merry Widow,1934
EL62,Angel,1937
EL63,Bluebeard's Eighth Wife,1938
EL64,Ninotchka,1939
EL65,The Shop around the Corner,1940
EL67,To Be or Not To Be,1942
EL68,Heaven Can Wait,1943
EL69,Cluny Brown,1946
PFo10,Cabiria,1914
PFo15,Il Fuoco,1915
PFo20,Tigre Reale,1916
PFo25,Hedda Gabler,1919
ReB8,The Italian,1914
ReB10,The Typhoon,1914
ASa14,Bluebeard's Seven Wives,1926
ASa29,The Sea Wolf,1930
ASa30,Body and Soul,1931
ASa31,Daddy Long Legs,1931
ASa34,Rebecca of Sunnybrook Farm,1932
ASa39,People Will Talk,1935
ASa41,Winterset,1936
ASa47,Our Leading Citizen,1939
ASa49,Beyond the Blue Horizon,1942
ASa50,Jack London,1943
ASa51,The Hairy Ape,1944
ECa10,The Final Judgement,1915
ECa20,The trail to Yesterday,1918
ECa30,Rio Grande,1920
ECa40,San of the Sahara,1924
ECa50,Resurrection,1927
ECa55,Ramona,1928
ECa60,Evangeline,1929
ECa62,The Girl of the Golden West,1929
ECa64,New Moon,1930
ECa65,The Spoilers,1930
ECa75,Are We Civilized?,1934
GD1,Les Soeurs Ennemies,1915
GD2,Geo le Mysterieux,1916
GD3,Venus Victrix,1916
GD7,La Fete Espanole,1919
GD10,La Belle Dame Sans Merci,1920
GD13,La Souriante Madame Beudet,1923
GD19,La Coquille et le Clergyman,1926
GMf20,Tennessee's Pardner,1915
GMf21,Gentleman of Leisure,1915
GMf40,Pettigrew's Girl,1919
GMf50,The Sheik,1921
GMf60,Dracula,1931
GMf70,The Light That Failed,1940
GuS10,Assunta Spina,1915
GuS12,The Woman of the Camelias,1915
IGA30,The Little Red Schoolhouse,1923
IGA40,The Phantom Express,1925
IGA50,Alexander Hamilton,1931
IGA60,The Man Who Played God,1932
IGA70,Voltaire,1933
JGE10,Joyous Troublemakers,1920
JGE18,Nero,1922
JGE20,Queen of Sheba,1922
JGE25,It's the Law,1924
JMa30,Asphalt,1929
JMa50,Music in the Air,1934
JMa60,The House of Seven Gables,1940
JMa70,Johnny Doen't Live Here Any More,1944
LaW10,The Corporal's Daughter,1915
LFl30,Les Vampires,1915
LFl50,Fantomas,1916
LFl70,Judex,1917
RaW2,The Thief of Bagdad,1924
RaW13,What Price Glory,1926
RaW20,The Loves of Carmen,1927
RaW24,Sadie Thompson,1928
RaW40,The Man Who Came Back,1930
RaW41,The Big Trail,1930
RaW44,The Yellow Ticket,1931
RaW47,The Bowery,1933
RaW59,The Roaring Twenties,1939
RaW60,St.~Louis Blues,1939
RaW61,They Drive by Night,1940
RaW62,High Sierra,1941
RaW63,They Died With Their Boots On,1941
RaW64,The Strawberry Blonde,1941
RaW65,Manpower,1941
RaW66,Desperate Journey,1942
RaW67,Northern Pursuit,1943
RaW70,Objective Burma,1945
RaW72,The Man I Love,1946
RaW73,One Sunday Afternoon,1949
RaW74,White Heat,1949
RaW75,Colorado Territory,1949
RaW77,Distant Drums,1951
RaW78,Blackbeard the Pirate,1952
RaW80,Gun Fury,1953
RaW81,Sea Devils,1953
RaW82,Battle Cry,1954
RaW85,Band of Angels,1957
RaW87,The Naked and the Dead,1958
RaW93,A Distant Trumpet,1964
SG10,Ceux de Chez Nous,1915
SG15,La Voyante,1925
SG20,Les Deaux Couverts,1932
SG25,Bonne Chance,1935
SG30,Le Roman d'un Tricheur,1936
SG33,The Pearls of the Crown,1937
SG35,Quadrille,1938
SG37,Champes-Elyse\'es,1938
SG40,Ils Etaient Neuf Celibataires,1939
SG43,Le Destin Fabuleux de Desiree Clary,1942
SG45,Donne-moi Tes Yeux,1943
SG49,La Diable Boiteux,1948
SG50,Le Comedien,1949
SG54,La Poison,1951
SG55,Debureau,1951
SG60,Versailles,1954
SG65,Napoleon,1955
SG66,Si Paris m'etait cont\'e,1955
SG69,Les Trois Font la Paire,1957
SG70,Le Vie a Dieux,1957
SG71,Assassins et Voleurs,1957
WDT10,Going to the San Francisco World's Fair,1916
WDT17,Tom Sawyer,1917
WDT19,Johanna Enlists,1918
WDT20,Huck and Tom,1918
WDT27,Anne of Green Gables,1919
WDT31,Huckleberry Finn,1920
Z1510,Two Orphans,1915
Z1512,The Clemenceau Case,1915
Z1514,The Stain,1915
Z1516,Lady Audley's Secret,1915
Z1518,The Vixen,1916
Z1520,A Fool There Was,1916
Z1522,Sin,1916
Z1524,The Light,1916
Z1526,Destruction,1916
Z1528,Gold and the Woman,1916
Z1530,The Serpent,1916
Z1532,Eternal Sappho,1916
Z1536,Her Double Life,1916
Z1538,Cleopatra,1917
Z1540,Madame Du Barry,1917
Z1542,Under Two Flags,1917
Z1544,Camille,1917
Z1546,Heart and Soul,1917
Z1548,The Tiger Woman,1917
Z1550,Salome,1918
Z1552,When A Woman Sins,1918
Z1554,The Forbidden Path,1918
Z1556,The She Devil,1918
Z1558,Rose of the Blood,1918
Z1560,Kathleen Mavourneen,1919
Z1562,La Belle Russe,1919
Z1564,When Men Desire,1919
Z1566,The Siren's Song,1919
Z1568,A Woman There Was,1920
Z1570,The Price of Silence,1921
Z1572,Her Greatest Love,1921
Z1576,The Unchastened Woman,1925
Z1578,Madame Mystery,1926
Z1580,The Dancer of Paris,1928
AB1,Perfido Incanto,1916
AB2,Thais,1916
AG10,J'accuse,1919
AG13,La Roue,1922
AG20,Napoleon,1927
AG30,La Fin du Monde,1930
AG40,Napoleon,1934
AG50,J'accuse,1937
AG65,Magirama,1955
AG70,Austerlitz,1960
ECn1,Sunshine,1916
ECn2,His Bread and Butter,1916
ECn3,Her First Beau,1916
ECn26,Training for Husbands,1918
ECn29,Training for Husbands,1921
ECn100,Circus Day,1923
ECn101,Off His Trolley,1924
ECn102,Galloping Bungalows,1924
ECn103,The Plumber,1924
ECn104,Little Robinson Crusoe,1924
ECn105,When a Man is a Man,1924
ECn106,The Good Bad Boy,1924
ECn107,Captain January,1924
ECn108,Along Came Ruth,1924
ECn109,Tee for Two,1925
ECn119,A Love Sunday,1926
ECn133,The Girls from Everywher,1927
ECn138,Ladies Night in Turkish Bath,1928
ECn141,Love at First Flight,1928
ECn142,Crash,1928
ECn143,Broadway Fever,1929
ECn146,Don't Bite Your Dentist,1930
ECn150,In Conference,1931
ECn151,Million Dollar Legs,1932
ECn152,So This is Africa,1933
ECn153,Peck's Bad Boy,1934
ECn155,The Cowboy Millionaire,1935
ECn156,When a Man's a Man,1935
ECn158,F-Man,1936
ECn159,On Again - Off Again,1937
ECn161,High Flyers,1937
ECn162,Hawaii Calls,1938
ECn166,The Villain Still Pursued Her,1940
ECn167,The Bank Dick,1940
ECn168,My Little Chickadee,1940
ECn169,Never Give a Sucker an Even Break,1941
ECn170,Meet The Chump,1941
ECn171,The Sucker,1941
ECn172,What's Cooking,1942
ECn177,Crazy House,1943
ECn180,Night Club Girl,1944
ECn183,Penthouse Rhythm,1945
ECn185,Bringing Up Father,1946
ECn186,Jiggs and Maggie in Society,1948
ECn187,Jiggs and Maggie in Court,1948
HK1,Who Pays?,1916
HK10,Tol'able David,1921
HK20,The White Sister,1923
HK25,Stella Dallas,1925
HK30,Whoopie,1929
HK50,State Fair,1933
HK56,Way Down East,1936
HK58,Lloyd's of London,1936
HK63,Ramona,1936
HK66,In Old Chicago,1938
HK67,Alexander's Ragtime Band,1938
HK69,Stanley and Livingstone,1939
HK71,Maryland,1940
HK72,Chad Hanna,1940
HK73,A Yank in the RAF,1941
HK75,The Black Swan,1942
HK76,The Song of Bernadette,1943
HK77,Wilson,1944
HK79,Margie,1946
HK80,Captain from Castile,1947
HK82,Twelve OClock High,1949
HK83,The Gunfighter,1950
HK86,David and Bathsheeba,1950
HK89,The Snows of Kilimandjaro,1952
HK91,Love is a many Splendored Thing,1955
HK92,Untamed,1955
HK94,The Sun also Rises,1957
HK99.,Tender is the Night,1961
JqF2,"T\^etes de Femmes, Femmes de T\^ete",1916
JqF4,Un Conseil d'Ami,1917
JqF6,La Faute d'Orthographe,1918
JqF10,L'Atlantide,1921
JqF20,Les Noveuax Messieurs,1929
JqF25,The Kiss,1929
JqF30,Le Grand Jeu,1934
JqF40,La Kermesse Heroique,1935
JqF50,Knight Without Armor,1937
JqF60,La Lois du Nord,1939
MaN30,Rebecca of Sunnybrook Farm,1917
MaN35,Amarilly of Clothes-Line Alley,1918
MaN40,Dady Long-Legs,1919
MaN70,Tess of the D'Ubervilles,1925
MaN110,Sweethearts on Parade,1930
SFr42,Private Lives,1931
SFr43,The Guardsman,1931
SFr46,Reunion in Vienna,1933
SFr50,Dark Angel,1935
SFr60,The Good Earth,1937
EJL10,The Three Godfathers,1916
WDM3,The Ragamuffin,1916
WDM5,What Every Woman Knows,1921
WDM10,Nice People,1922
WDM20,Craig's Wife,1928
AbA10,Il processo Clemenceau,1917
AlW40,The House of Rothschild,1934
AlW60,The Adventures of Sherlock Holmes,1939
BsK1,One Week,1920
BsK2,Convict 13,1920
BsK3,The Scarecrow,1920
BsK4,Neighbors,1921
BsK5,The Goat,1921
BsK6,The Haunted House,1921
BsK7,Hard Luck,1921
BsK8,The High Sign,1921
BsK9,The Playhouse,1921
BsK10,The Boat,1921
BsK11,The Paleface,1921
BsK12,The Blacksmith,1921
BsK13,Cops,1922
BsK14,The Electric House,1922
BsK15,My Wife's Relations,1922
BsK16,The Frozen North,1922
BsK17,Day Dreams,1922
BsK18,The Baloonatic,1923
BsK19,The Three Ages,1923
BsK20,The Love Nest,1923
BsK21,Our Hospitality,1923
BsK22,Sherlock jr.,1924
BsK23,The Navigator,1924
BsK24,Seven Chances,1925
BsK25,Go West,1925
BsK26,Estrallos,1925
BsK27,Battling Butler,1926
BsK28,"Life in Sometown, USA",1938
BsK29,Hollywood Handicap,1938
BsK930,Streamlined Swing,1938
FbM10,Cenere,1917
FLl4,The Only Way,1918
FLl7,Les Mis\'erables,1918
FLl10,Madame X,1920
FLl20,Oliver Twist,1922
FLl30,The Divine Lady,1929
FLl40,East Lynne,1931
FLl50,Passport to Hell,1932
FLl59,Cavalcade,1933
FLl62,Berkeley Square,1933
FLl70,Mutiny on the Bounty,1935
FLl75,Under Two Flags,1936
FLl80,Wells Fargo,1937
FLl85,Maid of Salem,1961
FLl89,If I were King,1939
FLl99,Blood on the Sun,1945
GM190,The Goldwyn Follies,1938
GM200,Destry Rides Again,1939
GM210,The Ghost Breakers,1940
GM220,Murder He Says,1944
GM222,Incendiary Blonde,1945
GM223,The Blue Dahlia,1946
GM224,Monsieur Beaucaire,1946
GM225,The Happy Barber,1946
GM226,The Perils of Pauline,1947
GM227,Variety Girl,1947
GM230,Fancy Pants,1950
GM235,The White Son of the Sioux,1952
GM237,Houdini,1953
GM238,Scared Stiff,1953
GM240,Red Garters,1954
GM242,Money From Home,1954
GM300,Destry,1954
GM305,The Gazebo,1959
GM310,Papa's Delicate Condition,1963
